name,box_office,genres,average,ratings_count,collect_count,wish_count,reviews_count
美少女特攻队,4633,"[""动作"",""奇幻"",""惊悚""]",6,43453,52254,10423,498
抢劫坚果店,4082,"[""喜剧"",""动画"",""冒险""]",6.2,7491,8677,2505,20
水啸雾都,3578,"[""动作"",""灾难""]",5.4,7818,9787,582,87
环形使者,12948,"[""动作"",""科幻"",""惊悚""]",6.8,121536,144687,20730,798
全城热恋,12944,"[""喜剧"",""爱情""]",6.3,197448,262622,14326,779
逆战,12940,"[""剧情"",""动作"",""犯罪""]",6.4,56848,68982,5270,441
玩命速递：重启之战,12845,"[""动作"",""犯罪"",""惊悚""]",5.9,22770,23926,5274,83
睡在我上铺的兄弟,12782,"[""剧情"",""爱情""]",5,16280,17825,3158,428
枪王之王,12658,"[""动作"",""悬疑"",""惊悚""]",6.6,99862,127501,8928,585
极限挑战之皇家宝藏,12548,"[""喜剧"",""悬疑""]",4.4,21272,23576,2568,297
喜羊羊与灰太狼之喜气羊羊过蛇年,12494,"[""喜剧"",""动画"",""家庭""]",5.2,3312,4070,1874,42
杜拉拉升职记,12441,"[""喜剧"",""爱情"",""古装""]",7.3,62470,65572,24604,514
喜羊羊与灰太狼之虎虎生威,12438,"[""喜剧"",""动画"",""奇幻""]",4.3,17869,18192,2384,33
整容日记,8441,"[""喜剧"",""爱情""]",4.5,52284,63749,2912,146
杨善洲,8346,"[""剧情"",""传记""]",7.1,1351,1614,416,29
叶问,8281,"[""动作"",""传记"",""剧情""]",7.6,179877,235588,5494,1081
一念天堂,8279,"[""喜剧""]",5.2,26938,29049,2092,249
笔仙Ⅱ,8217,"[""悬疑"",""惊悚""]",4,7639,8872,4041,85
花木兰,8107,"[""动画"",""冒险"",""剧情""]",7.5,103887,145437,2554,69
所以……和黑粉结婚了,8107,"[""喜剧"",""爱情""]",4.9,14742,16091,5402,261
梦想合伙人,8101,"[""剧情"",""爱情""]",3.9,19637,21523,1554,279
六福喜事,8091,"[""喜剧"",""爱情""]",5.2,31713,32418,5443,27
